candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,3,original,35,6356,1.0,0.9990569003458032,0.7015571054512945,0.45347009448836256,0.45347009448836256
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,3,mean3,36,6356,1.0,0.9990569003458032,0.7194401458146487,0.4604316565697604,0.4604316565697604
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,3,mean5,37,6356,1.0,0.9990569003458032,0.7371476338346153,0.4689830164968821,0.4689830164968821
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,1,original,20,932,1.0,0.14649481295190192,-0.026525882742674124,0.01083146283076302,0.01083146283076302
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,1,mean3,21,932,1.0,0.14649481295190192,-0.019451769116169602,0.0029198244047677845,0.0029198244047677845
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,1,mean5,22,932,1.0,0.14649481295190192,-0.012823907097551792,0.024670813535196724,0.024670813535196724
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,2,original,23,5747,1.0,0.9033322854448287,-0.02066045581896005,-0.01665405140596885,0.01665405140596885
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,2,mean3,24,5747,1.0,0.9033322854448287,-0.02175315217708547,-0.01499562174734885,0.01499562174734885
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,2,mean5,25,5747,1.0,0.9033322854448287,-0.03077855927512036,-0.018095503202888618,0.018095503202888618
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,3,original,26,6362,1.0,1.0,0.01525125363545084,0.0067701175030806466,0.0067701175030806466
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,3,mean3,27,6362,1.0,1.0,0.013829592061232457,0.007221758267161462,0.007221758267161462
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,A,3,mean5,28,6362,1.0,1.0,0.007046482404129951,-0.0027841782673827713,0.0027841782673827713
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,1,original,29,5094,1.0,0.8006916064130777,0.38220354170434456,0.35362300319330553,0.35362300319330553
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,1,mean3,30,5094,1.0,0.8006916064130777,0.3863439080178909,0.35702026378719853,0.35702026378719853
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,1,mean5,31,5094,1.0,0.8006916064130777,0.3881626996731405,0.3583563506468105,0.3583563506468105
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,2,original,32,6346,1.0,0.9974850675888085,0.4728924364144668,0.5655344148264986,0.5655344148264986
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,2,mean3,33,6346,1.0,0.9974850675888085,0.48272884421332884,0.5815229661561495,0.5815229661561495
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,2,mean5,34,6346,1.0,0.9974850675888085,0.4941388949962468,0.6001520478618533,0.6001520478618533
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,3,original,35,6351,1.0,0.9982709839673058,0.6335637522728182,0.4148982349464452,0.4148982349464452
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,3,mean3,36,6351,1.0,0.9982709839673058,0.6481132319065178,0.4226104198076497,0.4226104198076497
1,mirror_rotate_90,part01;part02;part03;part04,part03,25,B,3,mean5,37,6351,1.0,0.9982709839673058,0.6629565850713734,0.43215623499965317,0.43215623499965317
